id,Agency,Commendation_or_Complaint,Subject_Matter,Subject_Detail,Issue_Detail,Year,Quarter,Branch_Line_Route
subway_A,Subways,Commendation,Employees,Maintenance Staff,Performance Under Stress,2017.0,4.0,A
subway_Q,Subways,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2017.0,4.0,Q
subway_L,Subways,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2017.0,4.0,L
subway_N,Subways,Commendation,Employees,Other,Honesty/Integrity,2017.0,4.0,N
subway_4,Subways,Commendation,Employees,Other,Honesty/Integrity,2017.0,4.0,4
subway_7,Subways,Commendation,Employees,Other,Honesty/Integrity,2017.0,4.0,7
subway_F,Subways,Commendation,Employees,Platform Controller,Very Helpful/Friendly,2017.0,4.0,F
subway_F,Subways,Commendation,Employees,Platform Controller,Very Helpful/Friendly,2017.0,4.0,F
subway_1,Subways,Commendation,Employees,Police Officer / Law Enforcement,Other,2017.0,4.0,1
subway_D,Subways,Commendation,Employees,Police Officer / Law Enforcement,Performance Under Stress,2017.0,4.0,D
subway_D,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,D
subway_F,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,F
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_7,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,7
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_Q,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,Q
subway_1,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,1
subway_D,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,D
subway_A,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,A
subway_3,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,3
subway_D,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,D
subway_D,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,D
subway_1,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,1
subway_5,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,5
subway_G,Subways,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2017.0,4.0,G
